number,name,position,age,nation,team,value
1,Jude Bellingham,Attacking Midfield,20,England Ireland,Real Madrid,€180.00m
2,Erling Haaland,Centre-Forward,23,Norway,Manchester City,€180.00m
3,Kylian Mbappé,Centre-Forward,25,France Cameroon,Paris Saint-Germain,€180.00m
4,Phil Foden,Right Winger,24,England,Manchester City,€150.00m
5,Vinicius Junior,Left Winger,23,Brazil Spain,Real Madrid,€150.00m
6,Bukayo Saka,Right Winger,22,England Nigeria,Arsenal FC,€140.00m
7,Declan Rice,Defensive Midfield,25,England Ireland,Arsenal FC,€120.00m
8,Rodri,Defensive Midfield,27,Spain,Manchester City,€120.00m
9,Florian Wirtz,Attacking Midfield,21,Germany,Bayer 04 Leverkusen,€110.00m
10,Jamal Musiala,Attacking Midfield,21,Germany England,Bayern Munich,€110.00m
11,Lautaro Martínez,Centre-Forward,26,Argentina,Inter Milan,€110.00m
12,Victor Osimhen,Centre-Forward,25,Nigeria,SSC Napoli,€110.00m
13,Martin Ødegaard,Attacking Midfield,25,Norway,Arsenal FC,€110.00m
14,Harry Kane,Centre-Forward,30,England,Bayern Munich,€110.00m
15,Rodrygo,Right Winger,23,Brazil Spain,Real Madrid,€100.00m
16,Federico Valverde,Central Midfield,25,Uruguay Spain,Real Madrid,€100.00m
17,Gavi,Central Midfield,19,Spain,FC Barcelona,€90.00m
18,Eduardo Camavinga,Central Midfield,21,France Congo,Real Madrid,€90.00m
19,Julián Álvarez,Centre-Forward,24,Argentina,Manchester City,€90.00m
20,Aurélien Tchouaméni,Defensive Midfield,24,France Cameroon,Real Madrid,€90.00m
21,Rafael Leão,Left Winger,24,Portugal Angola,AC Milan,€90.00m
22,Bruno Guimarães,Defensive Midfield,26,Brazil Spain,Newcastle United,€85.00m
23,Pedri,Central Midfield,21,Spain,FC Barcelona,€80.00m
24,Cole Palmer,Attacking Midfield,22,England,Chelsea FC,€80.00m
25,Xavi Simons,Attacking Midfield,21,Netherlands Suriname,RB Leipzig,€80.00m
26,Khvicha Kvaratskhelia,Left Winger,23,Georgia,SSC Napoli,€80.00m
27,William Saliba,Centre-Back,23,France Cameroon,Arsenal FC,€80.00m
28,Rúben Dias,Centre-Back,27,Portugal,Manchester City,€80.00m
29,Lamine Yamal,Right Winger,16,Spain Equatorial Guinea,FC Barcelona,€75.00m
30,Moisés Caicedo,Defensive Midfield,22,Ecuador,Chelsea FC,€75.00m
31,Enzo Fernández,Central Midfield,23,Argentina,Chelsea FC,€75.00m
32,Alexis Mac Allister,Central Midfield,25,Argentina Italy,Liverpool FC,€75.00m
33,Luis Díaz,Left Winger,27,Colombia,Liverpool FC,€75.00m
34,Josko Gvardiol,Left-Back,22,Croatia,Manchester City,€75.00m
35,Dominik Szoboszlai,Central Midfield,23,Hungary,Liverpool FC,€75.00m
36,Alexander Isak,Centre-Forward,24,Sweden Eritrea,Newcastle United,€75.00m
37,Nicolò Barella,Central Midfield,27,Italy,Inter Milan,€75.00m
38,Gabriel Martinelli,Left Winger,22,Brazil Italy,Arsenal FC,€70.00m
39,Darwin Núñez,Centre-Forward,24,Uruguay,Liverpool FC,€70.00m
40,Ronald Araujo,Centre-Back,25,Uruguay Spain,FC Barcelona,€70.00m
41,Douglas Luiz,Central Midfield,26,Brazil,Aston Villa,€70.00m
42,Gabriel Magalhães,Centre-Back,26,Brazil,Arsenal FC,€70.00m
43,Éder Militão,Centre-Back,26,Brazil Spain,Real Madrid,€70.00m
44,Frenkie de Jong,Central Midfield,27,Netherlands,FC Barcelona,€70.00m
45,Alessandro Bastoni,Centre-Back,25,Italy,Inter Milan,€70.00m
46,Trent Alexander-Arnold,Right-Back,25,England,Liverpool FC,€70.00m
47,Kai Havertz,Attacking Midfield,24,Germany,Arsenal FC,€70.00m
48,James Maddison,Attacking Midfield,27,England,Tottenham Hotspur,€70.00m
49,Bernardo Silva,Attacking Midfield,29,Portugal,Manchester City,€70.00m
50,Bruno Fernandes,Attacking Midfield,29,Portugal,Manchester United,€70.00m
51,Leroy Sané,Right Winger,28,Germany France,Bayern Munich,€70.00m
52,Rasmus Højlund,Centre-Forward,21,Denmark,Manchester United,€65.00m
53,Jérémy Doku,Left Winger,22,Belgium Ghana,Manchester City,€65.00m
54,Lucas Paquetá,Attacking Midfield,26,Brazil Portugal,West Ham United,€65.00m
55,Achraf Hakimi,Right-Back,25,Morocco Spain,Paris Saint-Germain,€65.00m
56,Gabriel Jesus,Centre-Forward,27,Brazil,Arsenal FC,€65.00m
57,Dušan Vlahović,Centre-Forward,24,Serbia,Juventus FC,€65.00m
58,Christopher Nkunku,Attacking Midfield,26,France DR Congo,Chelsea FC,€65.00m
59,Matthijs de Ligt,Centre-Back,24,Netherlands,Bayern Munich,€65.00m
60,Ollie Watkins,Centre-Forward,28,England,Aston Villa,€65.00m
61,Kingsley Coman,Left Winger,27,France Guadeloupe,Bayern Munich,€65.00m
62,Warren Zaïre-Emery,Central Midfield,18,France Martinique,Paris Saint-Germain,€60.00m
63,Nuno Mendes,Left-Back,21,Portugal,Paris Saint-Germain,€60.00m
64,Bremer,Centre-Back,27,Brazil,Juventus FC,€60.00m
65,Anthony Gordon,Left Winger,23,England,Newcastle United,€60.00m
66,Randal Kolo Muani,Centre-Forward,25,France DR Congo,Paris Saint-Germain,€60.00m
67,Manuel Ugarte,Defensive Midfield,23,Uruguay,Paris Saint-Germain,€60.00m
68,Alphonso Davies,Left-Back,23,Canada Liberia,Bayern Munich,€60.00m
69,Takefusa Kubo,Right Winger,22,Japan,Real Sociedad,€60.00m
70,Loïs Openda,Centre-Forward,24,Belgium Morocco,RB Leipzig,€60.00m
71,Cristian Romero,Centre-Back,26,Argentina,Tottenham Hotspur,€60.00m
72,Theo Hernández,Left-Back,26,France Spain,AC Milan,€60.00m
73,Marcus Thuram,Centre-Forward,26,France Guadeloupe,Inter Milan,€60.00m
74,Ousmane Dembélé,Right Winger,27,France,Paris Saint-Germain,€60.00m
75,Marcus Rashford,Left Winger,26,England St. Kitts & Nevis,Manchester United,€60.00m
76,Jack Grealish,Left Winger,28,England Ireland,Manchester City,€60.00m
77,Joshua Kimmich,Right-Back,29,Germany,Bayern Munich,€60.00m
78,Endrick,Centre-Forward,17,Brazil,Sociedade Esportiva Palmeiras,€55.00m
79,Michael Olise,Right Winger,22,France England,Crystal Palace,€55.00m
80,Micky van de Ven,Centre-Back,23,Netherlands,Tottenham Hotspur,€55.00m
81,Min-jae Kim,Centre-Back,27,"Korea, South",Bayern Munich,€55.00m
82,Pedro Neto,Right Winger,24,Portugal,Wolverhampton Wanderers,€55.00m
83,Eberechi Eze,Attacking Midfield,25,England Nigeria,Crystal Palace,€55.00m
84,Dejan Kulusevski,Right Winger,24,Sweden North Macedonia,Tottenham Hotspur,€55.00m
85,Moussa Diaby,Right Winger,24,France Mali,Aston Villa,€55.00m
86,Ben White,Right-Back,26,England,Arsenal FC,€55.00m
87,Viktor Gyökeres,Centre-Forward,25,Sweden Hungary,Sporting CP,€55.00m
88,João Palhinha,Defensive Midfield,28,Portugal,Fulham FC,€55.00m
89,Marquinhos,Centre-Back,30,Brazil Portugal,Paris Saint-Germain,€55.00m
90,Mohamed Salah,Right Winger,31,Egypt,Liverpool FC,€55.00m
91,Kobbie Mainoo,Central Midfield,19,England Ghana,Manchester United,€50.00m
92,Nico Williams,Left Winger,21,Spain Ghana,Athletic Bilbao,€50.00m
93,Evan Ferguson,Centre-Forward,19,Ireland,Brighton & Hove Albion,€50.00m
94,Levi Colwill,Centre-Back,21,England,Chelsea FC,€50.00m
95,Matheus Nunes,Central Midfield,25,Portugal Brazil,Manchester City,€50.00m
96,Gonçalo Ramos,Centre-Forward,22,Portugal,Paris Saint-Germain,€50.00m
97,Mohammed Kudus,Attacking Midfield,23,Ghana,West Ham United,€50.00m
98,Jonathan David,Centre-Forward,24,Canada United States,LOSC Lille,€50.00m
99,Conor Gallagher,Central Midfield,24,England,Chelsea FC,€50.00m
100,Amadou Onana,Defensive Midfield,22,Belgium Senegal,Everton FC,€50.00m
